Dist Name,Year
Durg,1966
Bastar,1967
Raipur,1968
Bilaspur,1969
Raigarh,1970
Surguja,1971
Jabalpur,1972
Balaghat,1973
Chhindwara,1974
Narsinghpur,1975
Seoni / Shivani,1976
Mandla,1977
Sagar,1978
Damoh,1979
Tikamgarh,1980
Chhatarpur,1981
Panna,1982
Rewa,1983
Sidhi,1984
Satna,1985
Shahdol,1986
Gwalior,1987
Shivpuri,1988
Guna,1989
Datia,1990
Morena,1991
Bhind,1992
Indore,1993
Ratlam,1994
Ujjain,1995
Mandsaur,1996
Dewas,1997
Dhar,1998
Jhabua,1999
Khargone / West Nimar,2000
Khandwa / East Nimar,2001
Sehore,2002
Raisen,2003
Vidisha,2004
Betul,2005
Rajgarh,2006
Shajapur,2007
Hoshangabad,2008
Srikakulam,2009
Visakhapatnam,2010
East Godavari,2011
West Godavari,2012
Krishna,2013
Guntur,2014
S.P.S. Nellore,2015
Kurnool,2016
Ananthapur,2017
Kadapa YSR,
Chittoor,
Hyderabad,
Nizamabad,
Medak,
Mahabubnagar,
Nalgonda,
Warangal,
Khammam,
Karimnagar,
Adilabad,
Bangalore,
Kolar,
Tumkur,
Mysore,
Mandya,
Hassan,
Shimoge,
Chickmagalur,
Chitradurga,
Bellary,
Dharwad,
Belgaum,
Bijapur / Vijayapura,
Bidar,
Raichur,
Gulbarga / Kalaburagi,
Dakshina Kannada,
Uttara Kannada,
Kodagu / Coorg,
Chengalpattu MGR / Kanchipuram,
South Arcot / Cuddalore,
North Arcot / Vellore,
Salem,
Coimbatore,
Tiruchirapalli / Trichy,
Thanjavur,
Madurai,
Ramananthapuram,
Thirunelveli,
The Nilgiris,
Kanyakumari,
Bombay,
Thane,
Raigad,
Ratnagiri,
Nasik,
Dhule,
Jalgaon,
Ahmednagar,
Pune,
Satara,
Sangli,
Solapur,
Kolhapur,
Aurangabad,
Parbhani,
Beed,
Nanded,
Osmanabad,
Buldhana,
Akola,
Amarawati,
Yeotmal,
Wardha,
Nagpur,
Bhandara,
Chandrapur,
Ahmedabad,
Amreli,
Banaskantha,
Bharuch,
Vadodara / Baroda,
Bhavnagar,
Valsad,
Dangs,
Jamnagar,
Junagadh,
Kheda,
Kutch,
Mehsana,
Panchmahal,
Rajkot,
Sabarkantha,
Surat,
Surendranagar,
Ajmer,
Alwar,
Banswara,
Barmer,
Bharatpur,
Bhilwara,
Bikaner,
Bundi,
Chittorgarh,
Churu,
Dungarpur,
Ganganagar,
Jaipur,
Jaisalmer,
Jalore,
Jhalawar,
Jhunjhunu,
Jodhpur,
Kota,
Nagaur,
Pali,
Swami Madhopur,
Sikar,
Sirohi,
Tonk,
Udaipur,
Gurdaspur,
Amritsar,
Kapurthala,
Jalandhar,
Hoshiarpur,
Roopnagar / Ropar,
Ludhiana,
Ferozpur,
Bhatinda,
Sangrur,
Patiala,
Hissar,
Gurgaon,
Jind,
Mahendragarh / Narnaul,
Ambala,
Karnal,
Rohtak,
Saharanpur,
Muzaffarnagar,
Meerut,
Buland Shahar,
Aligarh,
Mathura,
Agra,
Mainpuri,
Etah,
Bareilly,
Budaun,
Moradabad,
Shahjahanpur,
Pilibhit,
Rampur,
Bijnor,
Farrukhabad,
Etawah,
Kanpur,
Fatehpur,
Allahabad,
Jhansi,
Jalaun,
Hamirpur,
Banda,
Varanasi,
Mirzpur,
Jaunpur,
Ghazipur,
Ballia,
Gorakhpur,
Deoria,
Basti,
Azamgarh,
Lucknow,
Unnao,
Rae-Bareily,
Sitapur,
Hardoi,
Kheri,
Faizabad,
Gonda,
Bahraich,
Sultanpur,
Pratapgarh,
Barabanki,
Nainital,
Almorah,
Pithorgarh,
Chamoli,
Uttar Kashi,
Tehri Garhwal,
Garhwal,
Dehradun,
Cachar,
Darrang,
Dibrugarh,
Goalpara,
Kamrup,
Karbi Anglong,
Lakhimpur,
North Cachar Hil / Dima hasao,
Nagaon,
Sibsagar,
Bilashpur,
Chamba,
Kangra,
Kinnaur,
Kullu,
Lahul & Spiti,
Solan,
Mandi,
Shimla,
Sirmaur,
Alappuzha,
Kannur,
Eranakulam,
Kottayam,
Kozhikode,
Malappuram,
Palakkad,
Kollam,
Thrissur,
Thiruvananthapuram,
Balasore,
Bolangir,
Cuttack,
Dhenkanal,
Ganjam,
Kalahandi,
Keonjhar,
Koraput,
Mayurbhanja,
Phulbani ( Kandhamal ),
Puri,
Sambalpur,
Sundargarh,
24 Parganas,
Nadia,
Murshidabad,
Burdwan,
Birbhum,
Bankura,
Hooghly,
Howrah,
Jalpaiguri,
Darjeeling,
Malda,
Cooch Behar,
Purulia,
Midnapur,
West Dinajpur,
Champaran,
Muzaffarpur,
Darbhanga,
Saharsa,
Purnea,
Saran,
Patna,
Mungair,
Bhagalpur,
Santhal Paragana / Dumka,
Shahabad (now part of Bhojpur district),
Gaya,
Hazaribagh,
Dhanbad,
Palamau,
Ranchi,
Singhbhum,
